State,Vehicle Purchase Incentive,Fuel Type,Vehicle Purchase Incentive Source
Idaho,Electric Vehicle and Hybrid Electric Vehicle (HEV) Exemption from Vehicle Testing Requirements,Electricity,https://afdc.energy.gov/laws/9292
Illinois,Fleet User Fee Exemption,Electricity,https://afdc.energy.gov/laws/4378
Illinois,Natural Gas and Propane Vehicle Weight Exemption,"Natural Gas, Propane",https://afdc.energy.gov/laws/11509
Illinois,Smart Grid Infrastructure Development and Support,Electricity,https://afdc.energy.gov/laws/9774
Indiana,Medium- and Heavy-Duty Grant Program,"Electricity, Hydrogen, Natural Gas",https://afdc.energy.gov/laws/12180
Indiana,Compressed Natural Gas (CNG) Tax Credit,Natural Gas,https://afdc.energy.gov/laws/10933
Indiana,Diesel Vehicle Retrofit and Improvement Grants,"Electricity, Biodiesel, Ethanol, Hydrogen, Propane",https://afdc.energy.gov/laws/10795
Indiana,Idle Reduction and Natural Gas Vehicle (NGV) Weight Exemption,Natural Gas,https://afdc.energy.gov/laws/10934
Indiana,Special Fuel Tax Exemption,"Biodiesel, Natural Gas",https://afdc.energy.gov/laws/11804
Indiana,Biodiesel Blend Tax Exemption,Biodiesel,https://afdc.energy.gov/laws/6222
Indiana,Alternative Fuel Vehicle (AFV) Inspection and Maintenance Exemption,"Hydrogen, Ethanol, Natural Gas, Propane",https://afdc.energy.gov/laws/10796
Indiana,Propane Equipment and Infrastructure Liability Exemption,Propane,https://afdc.energy.gov/laws/11616
Iowa,Diesel Emission Reduction Project Funding,"Biodiesel, Ethanol, Electricity, Hydrogen, Natural Gas, Propane",https://afdc.energy.gov/laws/12125
Iowa,Idle Reduction and Natural Gas Vehicle (NGV) Weight Exemption,Natural Gas,https://afdc.energy.gov/laws/11806
Iowa,Alternative Fuel Vehicle (AFV) Grants,"Electricity, Biodiesel, Ethanol, Hydrogen, Natural Gas, Propane",https://afdc.energy.gov/laws/13079
Kansas,Alternative Fuel Vehicle (AFV) Tax Credit,"Biodiesel, Ethanol, Natural Gas, Propane",https://afdc.energy.gov/laws/5169
Kansas,Idle Reduction and Natural Gas Vehicle (NGV) Weight Exemption,Natural Gas,https://afdc.energy.gov/laws/6202
Kansas,Natural Gas Vehicle (NGV) Rebate Pilot Program - Kansas Gas Service,Natural Gas,https://afdc.energy.gov/laws/11722
Louisiana,Natural Gas Vehicle Weight Exemption,Natural Gas,https://afdc.energy.gov/laws/11730
Louisiana,Electric Equipment and Electric Vehicle (EV) Charging Station Incentive - Entergy,Electricity,https://afdc.energy.gov/laws/12260
Maine,Electric Vehicle (EV) Rebates,Electricity,https://afdc.energy.gov/laws/12275
Maine,Clean Transportation and Infrastructure Loans,"Electricity, Hydrogen",https://afdc.energy.gov/laws/12682
Maryland,Alternative Fuel Vehicle (AFV) Grants,"Biodiesel, Electricity, Hydrogen, Natural Gas, Propane",https://afdc.energy.gov/laws/12516
Massachusetts,Zero-Emission Truck Rebates,"Electricity, Hydrogen",https://afdc.energy.gov/laws/12542
Michigan,Medium- and Heavy-Duty Grant Program,"Electricity, Hydrogen",https://afdc.energy.gov/laws/12494
Michigan,Natural Gas Vehicle (NGV) Weight Exemption,Natural Gas,https://afdc.energy.gov/laws/11919
Michigan,Electrification Technology Grants,"Electricity, Hydrogen",https://afdc.energy.gov/laws/13035
Michigan,Fleet Electrification Assessment – Consumers Energy,Electricity,https://afdc.energy.gov/laws/13026
Michigan,Propane Vehicle Rebate – Michigan Propane Gas Association (MPGA),Propane,https://afdc.energy.gov/laws/12245
Minnesota,Propane Vehicle Rebate - Minnesota Propane Association,Propane,https://afdc.energy.gov/laws/13287
Mississippi,Natural Gas Weight Exemption,Natural Gas,https://afdc.energy.gov/laws/12560
Missouri,Natural Gas Vehicle (NGV) and Idle Reduction Weight Exemption,Natural Gas,https://afdc.energy.gov/laws/11810
Missouri,Ethanol Retailer Tax Credit,Ethanol,https://afdc.energy.gov/laws/13129
Montana,Heavy-Duty Vehicle Replacement Grants,"Electricity, Hydrogen, Natural Gas, Propane",https://afdc.energy.gov/laws/12167
Nevada,Heavy-Duty Vehicle Emissions Reduction Grants,"Biodiesel, Ethanol, Electricity, Hydrogen, Natural Gas, Propane",https://afdc.energy.gov/laws/11985
Nevada,"Idle Reduction Technology, Natural Gas Vehicle, and Plug-in Electric Vehicle Weight Exemption","Electricity, Natural Gas",https://afdc.energy.gov/laws/12216
New Hampshire,Diesel Emissions Reduction Grants,"Electricity, Natural Gas, Propane",https://afdc.energy.gov/laws/11667
New Jersey,Zero Emissions Vehicle (ZEV) Tax Exemption,"Electricity, Hydrogen",https://afdc.energy.gov/laws/5778
New Jersey,Clean Truck Replacement Program,"Biodiesel, Ethanol, Electricity, Hydrogen, Natural Gas, Propane",https://afdc.energy.gov/laws/11568
New Jersey,Natural Gas Vehicle (NGV) Weight Exemption,Natural Gas,https://afdc.energy.gov/laws/11910
New Jersey,Medium- and Heavy-Duty (MHD) Zero Emission Vehicle (ZEV) Voucher Program,"Electricity, Hydrogen",https://afdc.energy.gov/laws/12545
New Jersey,Volkswagen (VW) Settlement Allocation,Electricity,https://afdc.energy.gov/laws/12025
New Jersey,Medium- and Heavy-Duty Zero Emission Vehicle (ZEV) Requirement,"Electricity, Hydrogen",https://afdc.energy.gov/laws/12815
New Mexico,Diesel Emission Reduction Funding ,"Biodiesel, Ethanol, Electricity, Hydrogen, Natural Gas, Propane",https://afdc.energy.gov/laws/12346
New York,Heavy-Duty Alternative Fuel and Advanced Vehicle Purchase Vouchers,"Electricity, Hydrogen",https://afdc.energy.gov/laws/10452
New York,Vehicle Emissions Reduction and Electric Vehicle (EV) Charging Station Project Funding,"Electricity, Hydrogen, Natural Gas, Propane",https://afdc.energy.gov/laws/12419
New York,Clean Truck Replacement Program,"Biodiesel, Ethanol, Electricity, Hydrogen, Natural Gas, Propane",https://afdc.energy.gov/laws/11566
New York,Idle Reduction and Natural Gas Vehicle (NGV) Weight Exemption,Natural Gas,https://afdc.energy.gov/laws/8901
New York,Fleet Electrification Assessment – Rochester Gas and Electric (RG&E),Electricity,https://afdc.energy.gov/laws/13108
New York,Fleet Electrification Assessment – National Grid,Electricity,https://afdc.energy.gov/laws/13109
